eval/episode_reward_dist,eval/episode_success_hard,render,eval/episode_reward_survive,eval/episode_dist,training/critic_loss,training/sps,eval/episode_reward_ctrl,eval/episode_reward,training/log_alpha,eval/episode_success,training/actor_loss,_runtime,eval/episode_success_any,eval/episode_reward_near,training/alpha_loss,_timestamp,training/entropy,eval/episode_success_easy,step,_step
,,"{'path': 'media/html/render_0_0d5c4a6c9736d7be1887.html', 'size': 4764361.0, '_type': 'html-file', 'sha256': '0d5c4a6c9736d7be1887a363b3ebf924c75c48327a0999f0e86d474e33320d0b'}",,,,,,,,,,59.762634308,,,,1774352713.9624033,,,,0.0
,,"{'sha256': 'ec3a4623a4da0c59f8cac586e2bcd65606b6c38e494f8836caef8c29828dcb2e', 'path': 'media/html/render_1_ec3a4623a4da0c59f8ca.html', 'size': 4781573.0, '_type': 'html-file'}",,,,,,,,,,125.885358993,,,,1774352780.085046,,,,1.0
0.0,0.0,,0.0,50.88372039794922,0.30926138162612915,11129.692789133785,0.0,0.0,0.0,0.0,1.0815948247909546,137.56459846,0.0,0.0,0.0,1774352780.2782316,0.0,4.34375,793600.0,793600.0
0.0,0.0,,0.0,54.301910400390625,0.0007653788197785616,33710.62399145233,0.0,0.0,0.0,0.0,-0.03654591366648674,149.033987417,0.0,0.0,0.0,1774352791.7640195,0.0,4.650390625,1047552.0,1047552.0
0.0,0.0,,0.0,56.35728454589844,1.599828465259634e-05,33737.99928073874,0.0,0.0,0.0,0.0,-0.008844371885061264,160.509901312,0.0,0.0,0.0,1774352803.2333615,0.0,4.0390625,1301504.0,1301504.0
0.0,0.0,,0.0,54.959388732910156,3.138602323815576e-06,33721.20985490202,0.0,0.0,0.0,0.0,-0.0013174570631235838,171.97362157,0.0,0.0,0.0,1774352814.7092726,0.0,3.84765625,1555456.0,1555456.0
0.0,0.0,"{'_type': 'html-file', 'sha256': '0e07112fadb0068cd6c4b86bd626277e35f1da4f84b31fb12059abe3872fc2e0', 'path': 'media/html/render_1809408_0e07112fadb0068cd6c4.html', 'size': 4786725.0}",0.0,53.65011978149414,3.0709352358826436e-06,33748.98516089713,0.0,0.0,0.0,0.0,2.3277129002963193e-05,209.000815746,0.0,0.0,0.0,1774352863.2005146,0.0,4.685546875,1809408.0,1809408.0
0.0,0.0,,0.0,55.31764221191406,1.225911205438024e-06,33756.40256258543,0.0,0.0,0.0,0.0,-1.218297165905824e-05,220.707674332,0.0,0.0,0.0,1774352863.4190192,0.0,3.953125,2063360.0,2063360.0
0.0,0.0,,0.0,53.93327331542969,1.2267365718798828e-06,33657.115678241265,0.0,0.0,0.0,0.0,-8.347833500010893e-06,232.178435739,0.0,0.0,0.0,1774352874.9070463,0.0,4.6484375,2317312.0,2317312.0
0.0,0.0,,0.0,53.97671127319336,1.2264924862392945e-06,33739.03695177409,0.0,0.0,0.0,0.0,-5.315525868354598e-06,243.642818483,0.0,0.0,0.0,1774352886.3776608,0.0,4.31640625,2571264.0,2571264.0
0.0,0.0,,0.0,53.87590408325195,1.226272615895141e-06,33746.97815643071,0.0,0.0,0.0,0.0,-1.725799302221276e-05,255.128477741,0.0,0.0,0.0,1774352897.842289,0.0,4.6875,2825216.0,2825216.0
0.0,0.0,"{'path': 'media/html/render_3079168_a9db355643b48ef959f6.html', 'size': 4778565.0, '_type': 'html-file', 'sha256': 'a9db355643b48ef959f65189b5ed296f366bdadc6d801dac65c90212e556a3dd'}",0.0,52.821617126464844,6.137277637208172e-07,33679.409941452344,0.0,0.0,0.0,0.0,-1.048759622790385e-05,292.298845775,0.0,0.0,0.0,1774352946.4986262,0.0,5.013671875,3079168.0,3079168.0
0.0,0.0,,0.0,52.95534896850586,6.134156933512713e-07,33647.25237204574,0.0,0.0,0.0,0.0,-7.555964657512959e-06,303.969588167,0.0,0.0,0.0,1774352946.6952963,0.0,4.6484375,3333120.0,3333120.0
0.0,0.0,,0.0,54.47785568237305,1.204396138376751e-09,33706.31428311038,0.0,0.0,0.0,0.0,1.954551862581866e-06,315.436479989,0.0,0.0,0.0,1774352958.169067,0.0,4.48828125,3587072.0,3587072.0
0.0,0.0,,0.0,54.16900634765625,1.9477275348123158e-09,33737.59961808782,0.0,0.0,0.0,0.0,3.083237970713526e-05,326.898745462,0.0,0.0,0.0,1774352969.6358993,0.0,4.345703125,3841024.0,3841024.0
0.0,0.0,,0.0,53.779273986816406,1.8372905969954445e-06,33753.42986265834,0.0,0.0,0.0,0.0,1.5839419575058855e-05,338.370575238,0.0,0.0,0.0,1774352981.0981488,0.0,4.455078125,4094976.0,4094976.0
0.0,0.0,"{'size': 4780069.0, '_type': 'html-file', 'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45', 'path': 'media/html/render_4348928_ae2ccbd7117ba4699c6c.html'}",0.0,53.520172119140625,8.232288739584703e-10,33713.649979787355,0.0,0.0,0.0,0.0,-5.276209776639007e-06,375.856239057,0.0,0.0,0.0,1774353030.0560672,0.0,4.486328125,4348928.0,4348928.0
0.0,0.0,,0.0,54.41984558105469,1.2250600320840022e-06,33749.25677174159,0.0,0.0,0.0,0.0,-9.993080311687663e-06,387.551666373,0.0,0.0,0.0,1774353030.2663002,0.0,4.1875,4602880.0,4602880.0
0.0,0.0,,0.0,54.596412658691406,6.130284191385726e-07,33684.355095815794,0.0,0.0,0.0,0.0,-1.3497739018930588e-05,399.018289679,0.0,0.0,0.0,1774353041.7510698,0.0,4.1015625,4856832.0,4856832.0
0.0,0.0,,0.0,55.756080627441406,3.4601130294298343e-10,33748.53498089725,0.0,0.0,0.0,0.0,3.360385562700685e-06,410.696270102,0.0,0.0,0.0,1774353053.2176178,0.0,3.73046875,5110784.0,5110784.0
0.0,0.0,,0.0,55.06528091430664,6.126315383880865e-07,32815.60231805935,0.0,0.0,0.0,0.0,-1.4107721426626085e-06,422.364337688,0.0,0.0,0.0,1774353064.8957083,0.0,4.169921875,5364736.0,5364736.0
0.0,0.0,"{'path': 'media/html/render_5618688_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file', 'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45'}",0.0,53.760108947753906,4.578549483991168e-10,32887.00218403394,0.0,0.0,0.0,0.0,-4.829296358366264e-06,460.187713705,0.0,0.0,0.0,1774353114.387507,0.0,4.65234375,5618688.0,5618688.0
0.0,0.0,,0.0,55.43486785888672,5.86944312597204e-11,32845.428494566695,0.0,0.0,0.0,0.0,1.671797122071439e-06,472.09717993,0.0,0.0,0.0,1774353114.5859308,0.0,3.958984375,5872640.0,5872640.0
0.0,0.0,,0.0,55.02246856689453,3.2961647300489005e-11,32723.779514345133,0.0,0.0,0.0,0.0,3.3697954222589033e-06,483.795801,0.0,0.0,0.0,1774353126.2965732,0.0,4.12109375,6126592.0,6126592.0
0.0,0.0,,0.0,54.501869201660156,3.2273107797298195e-11,32735.040242469055,0.0,0.0,0.0,0.0,2.550943008827744e-06,495.476117936,0.0,0.0,0.0,1774353137.9952323,0.0,4.611328125,6380544.0,6380544.0
0.0,0.0,,0.0,52.89822006225586,3.227220574109069e-11,32832.16774925448,0.0,0.0,0.0,0.0,2.3031398086459376e-06,507.168286465,0.0,0.0,0.0,1774353149.675075,0.0,5.078125,6634496.0,6634496.0
0.0,0.0,"{'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45', 'path': 'media/html/render_6888448_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file'}",0.0,54.39824295043945,3.336338497139657e-11,32758.523910512293,0.0,0.0,0.0,0.0,3.9770948205841705e-06,544.966504902,0.0,0.0,0.0,1774353199.1662998,0.0,4.072265625,6888448.0,6888448.0
0.0,0.0,,0.0,53.49097442626953,3.3058396298191184e-11,32837.775277982226,0.0,0.0,0.0,0.0,3.466943780949805e-06,556.871064121,0.0,0.0,0.0,1774353199.3586974,0.0,4.78515625,7142400.0,7142400.0
0.0,0.0,,0.0,53.788700103759766,3.2901584234856784e-11,32691.176501164253,0.0,0.0,0.0,0.0,3.1287820547731826e-06,568.543956829,0.0,0.0,0.0,1774353211.0704577,0.0,4.703125,7396352.0,7396352.0
0.0,0.0,,0.0,55.441261291503906,3.263884648663229e-11,32848.76206994419,0.0,0.0,0.0,0.0,3.3398216601199238e-06,580.237377101,0.0,0.0,0.0,1774353222.7434027,0.0,3.97265625,7650304.0,7650304.0
0.0,0.0,,0.0,53.35344314575195,3.2660592980127134e-11,32773.331512483106,0.0,0.0,0.0,0.0,3.0361084100150038e-06,591.909698825,0.0,0.0,0.0,1774353234.4367673,0.0,4.623046875,7904256.0,7904256.0
0.0,0.0,"{'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45', 'path': 'media/html/render_8158208_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file'}",0.0,54.84772491455078,3.292850367375699e-11,32859.54941908282,0.0,0.0,0.0,0.0,3.4500260426284513e-06,629.677006998,0.0,0.0,0.0,1774353283.8768294,0.0,4.029296875,8158208.0,8158208.0
0.0,0.0,,0.0,54.05977249145508,3.235420958924706e-11,32778.66778633707,0.0,0.0,0.0,0.0,2.576864972070325e-06,641.59307989,0.0,0.0,0.0,1774353284.0956395,0.0,4.837890625,8412160.0,8412160.0
0.0,0.0,,0.0,53.71883010864258,3.24297533271789e-11,32765.228057087406,0.0,0.0,0.0,0.0,2.750431576714618e-06,653.274748555,0.0,0.0,0.0,1774353295.7925873,0.0,4.822265625,8666112.0,8666112.0
0.0,0.0,,0.0,54.85454177856445,3.289085323543439e-11,32789.28195826486,0.0,0.0,0.0,0.0,3.047913878617692e-06,664.945584413,0.0,0.0,0.0,1774353307.4741173,0.0,4.25,8920064.0,8920064.0
0.0,0.0,,0.0,52.69426345825195,3.214523786043699e-11,32852.76609091023,0.0,0.0,0.0,0.0,1.8668951042855042e-06,676.631297953,0.0,0.0,0.0,1774353319.1450236,0.0,4.46875,9174016.0,9174016.0
0.0,0.0,"{'path': 'media/html/render_9427968_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file', 'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45'}",0.0,54.23686218261719,3.285251237716835e-11,32792.3345905117,0.0,0.0,0.0,0.0,3.2301300052495208e-06,713.813327179,0.0,0.0,0.0,1774353368.0131476,0.0,4.228515625,9427968.0,9427968.0
0.0,0.0,,0.0,54.070655822753906,3.2950531192454946e-11,32834.11498439508,0.0,0.0,0.0,0.0,3.2024715892475797e-06,725.750271462,0.0,0.0,0.0,1774353368.2053916,0.0,4.609375,9681920.0,9681920.0
0.0,0.0,,0.0,54.3980598449707,3.352932514966156e-11,32580.436644308153,0.0,0.0,0.0,0.0,3.880124950228492e-06,737.427098774,0.0,0.0,0.0,1774353379.949673,0.0,4.615234375,9935872.0,9935872.0
0.0,0.0,,0.0,54.97089385986328,3.261305808743842e-11,32832.57154878623,0.0,0.0,0.0,0.0,3.2457776342198486e-06,749.108574226,0.0,0.0,0.0,1774353391.6265702,0.0,4.208984375,10189824.0,10189824.0
0.0,0.0,,0.0,53.208465576171875,3.3480499622706716e-11,32808.944241927304,0.0,0.0,0.0,0.0,4.038765382574638e-06,760.779099069,0.0,0.0,0.0,1774353403.3075573,0.0,4.81640625,10443776.0,10443776.0
0.0,0.0,"{'path': 'media/html/render_10697728_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file', 'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45'}",0.0,53.534080505371094,3.272508306007005e-11,32860.14041983224,0.0,0.0,0.0,0.0,3.392327244000626e-06,798.047419814,0.0,0.0,0.0,1774353452.247249,0.0,4.814453125,10697728.0,10697728.0
0.0,0.0,,0.0,53.40688705444336,3.2725166326796895e-11,32795.272680069946,0.0,0.0,0.0,0.0,2.7827379653899698e-06,809.961955095,0.0,0.0,0.0,1774353452.442711,0.0,4.298828125,10951680.0,10951680.0
0.0,0.0,,0.0,52.06757736206055,3.3471881516478064e-11,32685.67007738771,0.0,0.0,0.0,0.0,3.929033027816331e-06,821.643838023,0.0,0.0,0.0,1774353464.160901,0.0,5.09375,11205632.0,11205632.0
0.0,0.0,,0.0,54.70697021484375,3.259178690817599e-11,32791.69151192812,0.0,0.0,0.0,0.0,2.857217623386532e-06,833.30966296,0.0,0.0,0.0,1774353475.8432689,0.0,3.80859375,11459584.0,11459584.0
0.0,0.0,,0.0,55.73573684692383,3.4790625241809536e-11,32898.12965154143,0.0,0.0,0.0,0.0,5.037724349676864e-06,845.005866803,0.0,0.0,0.0,1774353487.5090406,0.0,4.076171875,11713536.0,11713536.0
0.0,0.0,"{'path': 'media/html/render_11967488_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file', 'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45'}",0.0,54.96533966064453,3.313166407892254e-11,32736.11472590241,0.0,0.0,0.0,0.0,3.7148552110011224e-06,882.968236817,0.0,0.0,0.0,1774353537.168029,0.0,4.552734375,11967488.0,11967488.0
0.0,0.0,,0.0,54.11548614501953,3.26126695093798e-11,32844.02476647528,0.0,0.0,0.0,0.0,2.9886432457715273e-06,894.922612234,0.0,0.0,0.0,1774353537.4066093,0.0,4.5234375,12221440.0,12221440.0
0.0,0.0,,0.0,54.480037689208984,3.3530171694717836e-11,32687.07233900345,0.0,0.0,0.0,0.0,3.977454525738722e-06,906.603395341,0.0,0.0,0.0,1774353549.1220129,0.0,4.58203125,12475392.0,12475392.0
0.0,0.0,,0.0,54.79821014404297,3.2221607326743396e-11,32807.22734738352,0.0,0.0,0.0,0.0,2.3773795874149073e-06,918.286410756,0.0,0.0,0.0,1774353560.8027945,0.0,4.447265625,12729344.0,12729344.0
0.0,0.0,,0.0,54.49079513549805,3.244353397047206e-11,32787.74172533861,0.0,0.0,0.0,0.0,2.4767537070147227e-06,929.942913612,0.0,0.0,0.0,1774353572.485782,0.0,4.2890625,12983296.0,12983296.0
0.0,0.0,"{'path': 'media/html/render_13237248_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file', 'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45'}",0.0,55.379066467285156,3.2873277017175795e-11,32915.43661579418,0.0,0.0,0.0,0.0,3.3388339488737984e-06,967.435992093,0.0,0.0,0.0,1774353621.6358206,0.0,4.49609375,13237248.0,13237248.0
0.0,0.0,,0.0,52.8050537109375,3.394207831464158e-11,32766.834718860042,0.0,0.0,0.0,0.0,4.4529465412779246e-06,979.343453534,0.0,0.0,0.0,1774353621.8367832,0.0,4.943359375,13491200.0,13491200.0
0.0,0.0,,0.0,55.45305633544922,3.2687623441329805e-11,32734.36017517423,0.0,0.0,0.0,0.0,3.0954458907217486e-06,991.033566462,0.0,0.0,0.0,1774353633.5428808,0.0,3.943359375,13745152.0,13745152.0
0.0,0.0,,0.0,56.06373596191406,3.306087348331488e-11,32778.20882471581,0.0,0.0,0.0,0.0,3.582152203307487e-06,1002.710678999,0.0,0.0,0.0,1774353645.232868,0.0,4.029296875,13999104.0,13999104.0
0.0,0.0,,0.0,53.293601989746094,3.2711632014237324e-11,32837.709474572606,0.0,0.0,0.0,0.0,3.3144383451144677e-06,1014.389520756,0.0,0.0,0.0,1774353656.9101586,0.0,4.732421875,14253056.0,14253056.0
0.0,0.0,"{'path': 'media/html/render_14507008_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file', 'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45'}",0.0,54.18781280517578,3.3098745966242404e-11,32808.66936503363,0.0,0.0,0.0,0.0,3.441241915425053e-06,1051.812672255,0.0,0.0,0.0,1774353706.0125155,0.0,4.4296875,14507008.0,14507008.0
0.0,0.0,,0.0,54.85673522949219,3.374418106050214e-11,32839.525745491985,0.0,0.0,0.0,0.0,4.010360044048866e-06,1063.703149382,0.0,0.0,0.0,1774353706.2185092,0.0,3.982421875,14760960.0,14760960.0
0.0,0.0,,0.0,53.55665969848633,3.270933870980208e-11,32798.14363138099,0.0,0.0,0.0,0.0,3.1928293537930585e-06,1075.367426134,0.0,0.0,0.0,1774353717.9021573,0.0,4.810546875,15014912.0,15014912.0
0.0,0.0,,0.0,53.96465301513672,3.278564572606335e-11,32883.111632679174,0.0,0.0,0.0,0.0,3.4185156891908264e-06,1087.044299501,0.0,0.0,0.0,1774353729.566813,0.0,4.3046875,15268864.0,15268864.0
0.0,0.0,,0.0,55.03940963745117,3.2992886200844396e-11,32816.12298899741,0.0,0.0,0.0,0.0,3.4848776522267144e-06,1098.721571837,0.0,0.0,0.0,1774353741.2436895,0.0,3.998046875,15522816.0,15522816.0
0.0,0.0,"{'path': 'media/html/render_15776768_ae2ccbd7117ba4699c6c.html', 'size': 4780069.0, '_type': 'html-file', 'sha256': 'ae2ccbd7117ba4699c6c760276cc49cd7a4c571df2783eb54b0994907dc69e45'}",0.0,54.33033752441406,3.2859423515496644e-11,32838.5720263464,0.0,0.0,0.0,0.0,3.3456690289312974e-06,1136.199288497,0.0,0.0,0.0,1774353790.3991127,0.0,4.466796875,15776768.0,15776768.0
0.0,0.0,,0.0,54.75564956665039,3.289557862218295e-11,32863.60474022449,0.0,0.0,0.0,0.0,3.3442497624491807e-06,1148.1057351,0.0,0.0,0.0,1774353790.6017728,0.0,4.099609375,16030720.0,16030720.0
0.0,0.0,,0.0,53.49787902832031,3.282406291216233e-11,32762.543247556925,0.0,0.0,0.0,0.0,3.4694578516791807e-06,1159.794740737,0.0,0.0,0.0,1774353802.3050423,0.0,4.744140625,16284672.0,16284672.0
0.0,0.0,,0.0,54.53995132446289,3.242350138377148e-11,32754.005978890855,0.0,0.0,0.0,0.0,2.73389628091536e-06,1171.47847346,0.0,0.0,0.0,1774353813.994204,0.0,4.62109375,16538624.0,16538624.0
0.0,0.0,,0.0,54.555423736572266,3.221202818370905e-11,32797.47911746656,0.0,0.0,0.0,0.0,2.3957134089869214e-06,1183.157460681,0.0,0.0,0.0,1774353825.6778853,0.0,4.05859375,16792576.0,16792576.0
